Doc. Type1,Author Type2,Organisation3,Code,N/I,Language,Document title,"Size
 (characters)",Year,Remarks,Stat.1
GP,CB,BdF,GP_BdF_2014,N,F,Réponses aux questions fréquemment posées sur le passage au 6ème Manuel de balance des paiements et de la position extérieure globale (BPM6) et sur la disponibilité des données (FAQ),10 600,2014,,
GP,SO,BEA,GP_BEA_2020,N,E,International Transactions Accounts,2 766,2020,,
GP,SO,EuS,GP_EuS_2020,I,E,Balance of payments — Overview,3 219,2020,,
GP,SO,EuS,GP_EuS_2020-02,I,E,Balance of payment statistics - background ,19 301,2020,,
GP,SO,EuS,GP_EuS_2021,I,E,Balance of payments - International transactions (BPM6) (bop_6). Reference Metadata in Euro SDMX Metadata Structure (ESMS),42 365,2020,,
GP,SO,EuS,GP_EuS_2021-01,I,E,Beginners:Balance of payments ,19 721,2021,,
GP,CB,NBB,GP_NBB_2016,N,F,La balance des paiements pour les non-spécialistes,22 000,2016,,
GP,CB,NBB,GP_NBB_2019,N,F,Modifications méthodologiques apportées à la statistique de la balance des paiements,9 207,2019,,
GP,SO,ONS,GP_ONS_2015,N,E,An introduction to the United Kingdom balance of payments,50 538,2015,,
GP,SO,Statec,GP_STATEC_2014,N,F,Présentation de l’unité,13 144,2014,,
GP,SO,Statec,GP_STATEC_2014-2,N,F,BALANCE DES PAIEMENTS,10 355,2014,,
GP,CB,OeNB,GP_OeNB_2020,N,D,Die Zahlungsbilanz,9 052,2020,,
GP,CB,OeNB,GP_OeNB_2020_2,N,D,Zahlungsbilanz – Gesamtübersicht – Global,2 144,2020,,
GP,CB,OeNB,GP_OeNB_2020_3,N,D,Wozu dient die Außenwirtschaftsstatistik?,3 559,2020,,
GP,SO,EuS,GP_EuS_2020_03,I,E,Balance of payments and international investment position manual (BPM6) - Statistics Explained,9 822,2020,,
GP,SO,EuS,GP_EuS_2017,I,E,Globalisation patterns in EU trade and investment,322 810,2017,,
GP,CB,NBB,GP_NBB_2022,N,F,Méthodologie,9 386,2022,,
GP,CB,OeNB,GP_OeNB_2020_LB,N,D,Leistungsbilanz (inkl. Vermögensübertragungen) – Detailübersicht,1 900,2020,,
PP,OT,Acad,PP_Acad_2010,N,E,"Measuring the Location of Production in a World of
intangible Productive Assets, FDI, and Intra-Firm Trade",30 580,2010,Quoted in Measuring GDP in a globalised world (presentation),
PP,CB,BdF,PP_BdF_2014-t4 pp.125-141,N,F,La balance des paiements de la France selon les nouvelles normes internationales : une réponse statistique à la mondialisation de l’économie,41 046,2014,,
PP,SO,BEA,PP_BEA_2010,N,E,A Guide to the U.S. International Transactions Accounts and the U.S. International Investment Position Accounts,79 478,2010,,
PP,SO,BEA,PP_BEA_2011,N,E,Operations of U.S. Multinational Companies in the United States and Abroad,77 242,2011,,
PP,SO,BEA,PP_BEA_2014-1,N,E,Activities of U.S. Multinational Enterprises in 2012,10 176,2014,,
PP,SO,BEA,PP_BEA_2014-2,N,E,Multinational Enterprises and International Technology Transfer,33 466,2014,,
PP,SO,EuS&BEA,PP_BEA-EuS_2019,I,E,Current account asymmetries in EU-US statistics - 2019 edition,91 433,2019,,
PP,CB,BoE,PP_BoE_2002,N,E,Leading indicators of balance-of-payments crises: a partial review,100 520,2002,,
PP,CB,BoE,PP_BoE_2013,N,E,The Balance of Payments,30 637,2013,,
PP,CB,BuBa,PP_BuBa_2012,N,D,Finanzkrise und Zahlungsbilanzentwicklungen in der Europäischen Währungsunion,63 766,2012,,
PP,CB,BuBa,PP_BuBa_2014,N,D,Diskrepanz zwischen der Veränderung des Auslandsvermögens und des kumulierten Saldos der Kapitalbilanz: kein geeigneter Indikator für Vermögensverluste,10 071,2014,,
PP,CB,BuBa,PP_BuBa_2016-03,N,D,Zum Ein?uss des starken Ölpreisrückgangs und der EuroAbwertung auf die Ausweitung des deutschen Leistungsbilanzüberschusses in den Jahren 2014 und 2015,10 222,2016,,
PP,CB,BuBa,PP_BuBa_2018-04-AV,N,D,Das deutsche Auslandsvermögen: neue statistische Konzepte und Ergebnisse seit der Finanzkrise,48 746,2018,,
PP,CB,BuBa,PP_BuBa_2018-12-AV,N,D,Die deutsche Auslandsposition: Höhe, Rentabilität und Risiken der grenzüberschreitenden Vermögenswerte,82 029,2018,,
PP,CB,BuBa,PP_BuBa_2020-03,N,D,Digitale Käufe privater Haushalte in der Zahlungsbilanz,22 190,2020,,
PP,CB,BuBa,PP_BuBa_2020-07,N,D,Der deutsche Leistungsbilanzüberschuss aus der Sicht makroökonomischer Modelle,83 667,2020,,
PP,CB,BuBa,PP_BuBa_2021_03,N,D,"Aktualisierung der internationalen Standards für die
Außenwirtschafts statistiken und die Volkswirtschaftlichen Gesamtrechnungen",13 839,2021,,
PP,CB,BuBa,PP_BuBa_2021_07,N,D,"Grenzüberschreitende Unternehmensübernahmen:
Auswirkungen der Internationalisierung
auf Unternehmen in Deutschland",62 068,2021,,
PP,OT,CMFB,PP_CMFB_2016-o1,I,E,CMFB opinion on re-shaping the connection between business statistics and BOP-IIP via the FRIBS draft Regulation,7 863,2016,,
PP,OT,CMFB,PP_CMFB_2016-o2,I,E,CMFB opinion on the principles for re-shaping the connection between business statistics and BoP/IIP,6 893,2016,,
PP,SO,CSO,PP_CSO_2018,N,E,Meeting the measurement challenges of Globalisation,30 220,2018,,
PP,CB,ECB,PP_ECB_2014,I,E,Euro area balance of payments and international investment position statistics – 2013 quality report,84 227,2014,,
PP,CB,ECB,PP_ECB_2016,I,E,Euro area balance of payments and international investment position statistics 2015 Quality Report,70 727,2016,,
PP,CB,ECB,PP_ECB_2020,I,E,Revisiting the monetary presentation of the euro area balance of payments,79 240,2020,,
PP,SO,EuS,PP_EuS_2015,I,E,Quality report on balance of payments, international trade in services and foreign direct investment,54 915,2015,Glossary removed (identical to the one included in PP_EuS_2017),
PP,SO,EuS,PP_EuS_2017,I,E,Quality report on balance and payments (BOP), international trade in services (ITS) and foreign direct investment statistics (FDI),75 268,2017,Contains a glossary,
PP,SO,EuS,PP_EuS_2017-02,I,E,Consistency between national accounts and balance of payment statistics — an updated view on the non-financial accounts,70 361,2017,,
PP,SO,EuS,PP_EuS_2019,I,E,Quality report on balance and payments (BOP), international trade in services (ITS) and foreign direct investment statistics (FDI) DATA 2018,76 689,2019,,
PP,SO,EuS,PP_EuS_2019-02,I,E,Measuring international trade in services - from BPM5 to BPM6 ,9 145,2019,,
PP,SO,EuS,PP_EuS_2020,I,E,Quality report on balance of payments (BOP), international investment position (IIP), international trade in services (ITS) and foreign direct investment statistics (FDI) - 2019 Data,159 568,2020,,
PP,SO,EuS,PP_EuS_2020-03,I,E,Differences between balance of payments and foreign trade statistics ,15 640,2020,,
PP,SO,EuS,PP_EuS_2020-03,I,E,Differences between balance of payments and foreign trade statistics,15 640,2020,,
PP,SO,EuS,PP_EuS_2020-04,I,E,Remittances according to the BPM6 manual ,14 056,2020,,
PP,SO,EuS,PR_EuS_2021_7,I,E,EU current account surplus €116.5 bn,5 240,2021,,
PP,SO,EuS,PR_EuS_2021_3,I,E,EU current account surplus €72.1 bn,5 260,2022,,
PP,OT,Acad,PP_Obstfeld_2012,N,E,Does the Current Account Still Matter?,75 551,2012,,
PP,CB,OeNB,PP_OeNB_2016,N,D,Direktinvestitionen und ihre Erträge - Ein Konzeptvergleich,6 961,2016,,
PP,CB,OeNB,PP_OeNB_2017,N,D,Multinationale Unternehmen in Österreich - Nutzen einer Konzernbetrachtung von Direktinvestitionen und verwandten außenwirtschaftsstatistischen Daten,27 719,2017,,
PP,CB,OeNB,PP_OeNB_2018,N,D,Österreich auf dem Weg vom Nettoimporteur zum Kapitalgeber - Außenwirtschaftliche Entwicklungen in den letzten 60 Jahren,70 255,2018,,
PP,SO,ONS,PP_ONS_2014,N,E,Impact on the Balance of Payments and International Investment Position as a result of the introduction of new international standards, 1997 to 2013,14 604,2014,,
PP,SO,SCan ,PP_SCan_2014_e,N,E,Balance of Payments trade in goods at Statistics Canada: Expanding geographic detail to 27 principal trading partners,35 196,2014,,
PP,SO,SCan ,PP_SCan_2014_f,N,F,Balance des paiements du commerce des biens à Statistique Canada : Élargir le niveau de détail géographique jusqu'aux 27 principaux partenaires commerciaux,41 665,2014,,135 209
PP,SO,SCan ,PP_SCan_2017_f,N,F,Traitement dans le Système canadien des comptes macroéconomiques des droits appliqués aux importations aux États-Unis de produits de bois d’œuvre résineux canadiens ,6 884,2017,,
PP,SO,SCan ,PP_SCan_2017-2_e,N,E,"Foreign direct investment in Canada by 
ultimate investing country",23 095,2017,,
PP,SO,SCan ,PP_SCan_2017-e,N,E,Treatment of duties applied to imports of Canadian softwood lumber products into the U.S. in the Canadian System of Macroeconomic Accounts,5 781,2017,,
PP,SO,SCan ,PP_SCan_2017-f,N,F,Investissement direct étranger au Canada par pays investisseur ultime,28 471,2017,,
PP,SO,SCan ,PP_SCan_2018-2-e,N,E,Comparing Canada’s and China’s bilateral trade data,47 176,2018,,
PP,SO,SCan ,PP_SCan_2018-2-f,N,F,Comparaison des données sur le commerce bilatéral du Canada et de la Chine,62 729,2018,,
PP,SO,SCan ,PP_SCan_2018-3-e,N,E,Currency composition of Canada’s international investment position,21 878,2018,,
PP,SO,SCan ,PP_SCan_2018-3-f,N,F,Composition en devises du bilan des investissements internationaux du Canada,26 986,2018,,
PP,SO,SCan ,PP_SCan_2018-4-e,N,E,Canada’s external trade classified by Broad Economic Categories,25 900,2018,,
PP,SO,SCan ,PP_SCan_2018-4-f,N,F,Le commerce extérieur du Canada selon la classification par grandes catégories économiques,40 732,2018,,
PP,SO,SCan ,PP_SCan_2018-e,N,E,Canada’s international trade in information and communications technologies (ICT) and ICT-enabled services,10 181,2018,,
PP,SO,SCan ,PP_SCan_2018-f,N,F,Commerce international du Canada en services des technologies de l’information et des communications (TIC) et en services fondés sur les TIC,13 375,2019,,
PP,SO,SCan ,PP_SCan_2019_e,N,E,A preview of the 2019 revision of the Canadian System of Macroeconomic Accounts,21 808,2019,,
PP,SO,SCan ,PP_SCan_2019_e,N,E,Employment at multinational enterprises in Canada,19 099,2019,,
PP,SO,SCan ,PP_SCan_2019_f,N,F,Un aperçu de la révision de 2019 du Système canadien des comptes macroéconomiques,27 020,2019,,
PP,SO,SCan ,PP_SCan_2019-3_f,N,F,L’emploi dans les entreprises multinationales au Canada,24 214,2019,,
PP,SO,SCan ,PP_SCan_2019-2_e,N,E,Enhancing Canada’s statistics on securities,14 041,2019,,
PP,SO,SCan ,PP_SCan_2019-2_f,N,F,Améliorer les statistiques sur les titres financiers du Canada,16 265,2019,,
PP,SO,SCan ,PP_Scan_2020_e,N,E,Satellite Accounting in Canada,61 146,2020,,206 131
PP,SO,SCan ,PP_SCan_2020_f,N,F,Les comptes satellites au Canada,67 351,2020,,
PP,SO,SCan ,PP_SCan_2020-e,N,E,Canada’s services exports through the lens of digital trade,45 547,2020,,
PP,SO,SCan ,PP_SCan_2020-f,N,F,Les exportations de services du Canada sous l’angle du commerce numérique,63 514,2020,,
PP,CB,SNB,PP_SNB_2013_43-55_f,N,F,Importance de la place financière dans la balance des transactions courantes - Adaptation des statistiques…,36 477,2013,Translation,177 127
PP,CB,SNB,PP_SNB_2014,N,D,Epochenwechsel in der Zahlungsbilanzstatistik,12 091,2014,,
PP,CB,SNB,PP_SNB_2015_d,N,D,Der Goldhandel,28 897,2015,,
PP,CB,SNB,PP_SNB_2015_f,N,F,Le négoce de l’or,30 499,2015,Translation,
PP,CB,SNB,PP_SNB_2016_d,N,D,Unterschiedliche Darstellung der Direktinvestitionen,18 540,2016,,
PP,CB,SNB,PP_SNB_2016_f,N,F,Différents principes de présentation des investissements directs,15 747,2016,Translation,
PP,CB,SNB,PP_SNB_2017_d,N,D,Zahlungsbilanz und Auslandvermögen –  zum besseren Verständnis wichtiger Statistiken,29 278,2017,,
PP,CB,SNB,PP_SNB_2017_f,N,F,Balance des paiements et position  extérieure – Quelques éléments pour mieux comprendre  des statistiques importantes,25 373,2017,Translation,
PP,CB,SNB,PP_SNB_2018_d,N,D,Die Portfolioinvestitionen im Auslandvermögen der Schweiz,19 552,2018,,
PP,CB,SNB,PP_SNB_2018_f,N,F,Les investissements de portefeuille dans la position extérieure de la Suisse ,20 737,2018,Translation,
PP,CB,SNB,PP_SNB_2019_d,N,D,Auslandvermögen der Schweiz: Zerlegung der Bestandesänderungen,22 244,2019,,218 447
PP,CB,SNB,PP_SNB_2019_d_2,N,D,Tätigkeiten multinationaler Unternehmen und ihre Abbildung in der Zahlungsbilanz,33 332,2019,,
PP,CB,SNB,PP_SNB_2019_f,N,F,Position extérieure de la Suisse: facteurs expliquant la variation des stocks,23 447,2019,Translation,
PP,CB,SNB,PP_SNB_2019-2_f,N,F,La représentation des activités des entreprises multinationales dans la balance des paiements,37 066,2019,Translation,
PP,CB,SNB,PP_SNB_2020_d,N,D,Zusammenhang zwischen Kapitalbilanz, Auslandvermögen und Finanzierungsrechnung,24 697,2020,,
PP,CB,SNB,PP_SNB_2020_f,N,F,Relations entre le compte financier de la balance des paiements, la position extérieure et les comptes financiers,28 365,2020,Translation,
PP,SO,Statec,PP_STATEC_2014,N,F,Regards sur la révision des comptes nationaux et de la balance des paiements,14 234,2014,,
PP,SO,Statec,PP_STATEC_2015,N,F,Regards sur certains éléments de la balance courante en 2014,12 614,2015,,
PP,SO,Statec,PP_STATEC_2015_2,N,F,Regards sur les échanges internationaux de services financiers,11 238,2015,,
PP,SO,Statec,PP_STATEC_2020,N,F,L’impact des frontaliers dans la balance des paiements en 2019,8 235,2020,,
PP,CB,OeNB,PP_OeNB_2018_2,N,D,Coordinated Direct Investment Survey – Bilaterale Direktinvestitionsbeziehungen weltweit,7 988,2018,,
PP,CB,OeNB,PP_OeNB_2019,N,D,Erste Anzeichen einer Eintrübung in Österreichs Außenwirtschaft,17 310,2019,,
PP,CB,OeNB,PP_OeNB_2019_2,N,D,Bestimmungsfaktoren des grenzüberschreitenden Dienstleistungshandels 2016,16 358,2019,,
PP,CB,OeNB,PP_OeNB_2020,N,D,Erkennbare Auswirkungen der COVID-19-Pandemie auf die Außenwirtschaft im zweiten Quartal 2020,18 949,2020,,
PP,CB,OeNB,PP_OeNB_2020,N,E,Typology of multinationals in Austria: CESEE focus and foreign control as distinct features,43 134,2020,,
PP,CB,OeNB,PP_OeNB_2020_2,N,D,Österreichs Außenwirtschaft im 25. Jahr der Mitgliedschaft in der Europäischen Union,20 843,2020,,
PP,CB,OeNB,PP_OeNB_2020_3,N,D,Methoden, Definitionen und Quellen,27 540,2020,,
PP,SO,EuS,PP_EuS_2022,I,E,Consistency between national accounts and balance of payments statistics,22 502,2022,,
PP,SO,ONS,PP_ONS_2022,N,E,Detailed assessment of changes to balance of payments annual estimates 1997 to 2020,19 501,2022,,
PP,SO,ONS,PP_ONS_2021,N,E,Impact of the coronavirus and EU exit on the collection and compilation of UK trade statistics,16 778,2021,,
PP,SO,ONS,PP_ONS_2022_1,N,E,Impact of trade in goods data collection changes on UK trade statistics 2021 to 2022,11 778,2022,,
PP,SO,ONS,PP_ONS_2022_2,N,E,Proposed changes to be implemented in Blue Book and Pink Book 2022,8 281,2022,,
PP,CB,BCL,PP_BCL_2009,N,F,La position extérieure globale du Luxembourg,35 474,2009,,
PP,OT,CMFB,PP_CMFB_2020_BOP (exc),I,E,GENERAL CONSIDERATIONS ON THE QUALITY OF THE STATISTICS UNDERLYING THE MIP,30 178,2020,Excerpts concerning the BOP,
PP,SO,Statec,PP_STATEC_2022,N,F,"L’impact des frontaliers dans la balance
des paiements en 2020",7 844,2022,,
PP,CB,OeNB,PP_OeNB_2022_1,N,D,Start-ups in Österreich und ihre außenwirtschaftliche Relevanz,27 368,2022,,
PP,CB,OeNB,PP_OeNB_2021_4,N,D,Entwicklung der Außenwirtschaft Österreichs im zweiten Jahr der COVID-19-Pandemie,46 099,2021,,
PP,CB,OeNB,PP_OeNB_2022_2,N,D,Entwicklung der Außenwirtschaft Österreichs im zweiten Jahr der COVID-19-Pandemie,36 935,2022,Same title as PP_OeNB_2021_4 but different content,
PP,CB,OeNB,PP_OeNB_2021_2,N,D,Auswirkungen der COVID-19-Pandemie auf Österreichs Außenwirtschaft 2020,21 253,2021,,
PP,SO,ONS,PP_ONS_2020,N,E,Understanding the UK's net international investment position,29 466,2020,,
PR,SO,BEA,GP_BEA_2020_iti,N,E,International Trade & Investment,7 521,2020,,
PR,SO,EuS,PR_EuS_2020_10,I,E,Second quarter of 2020,5 299,2020,,
PP,CB,SNB,PP_SNB_2023-d,N,D,Transithandel: Ein Gradmesser der Globalisierung,8 377,2023,,
PR,CB,OeNB,PR_OeNB_2014,N,D,Zahlungsbilanz im ersten Halbjahr 2014 - Ergebnisse und inhaltliche Neuerungen,38 362,2014,,
PR,SO,BEA,PP_BEA_2020,N,E,"U.S. International Services - Trade in Services in 2019 and Services Supplied Through Affiliates in 2018
",68 721,2020,,
PR,SO,EuS,PR_EuS_2021_10,I,E,EU current account surplus €108.8 bn,5 230,2020,,
PR,CB,OeNB,PR_OeNB_2014_2,N,D,Dienstleistungserfolge beflügeln Außenwirtschaft,46 993,2014,,
PR,CB,OeNB,PR_OeNB_2015,N,D,Leistungsbilanz im Aufwind - Österreichs Außenwirtschaft im ersten Halbjahr 2015,19 216,2015,,
PR,CB,OeNB,PR_OeNB_2015_2,N,D,Tourismus stabilisiert Österreichs Leistungsbilanz – Zahlungsbilanz 2014,38 385,2015,,
PR,CB,OeNB,PR_OeNB_2016,N,D,Zahlungsbilanz – Entwicklungen im 1. Quartal 2016,5 508,2016,,
PR,CB,OeNB,PR_OeNB_2016_2,N,D,Zahlungsbilanzergebnisse für das Jahr 2015,36 610,2016,,
PR,CB,OeNB,PR_OeNB_2017,N,D,Österreichs Zahlungsbilanz im ersten Halbjahr 2017,19 857,2017,,
PR,CB,OeNB,PR_OeNB_2017_2,N,D,Neues Datenangebot auf der OeNB-Website: Grenzüberschreitende Vermögenseinkommen gegliedert nach Funktion und Finanzierungsinstrument,12 036,2017,,
PR,SO,Statec,PR_STATEC_2016,N,F,Regards sur la balance courante en 2015,12 244,2016,,
PR,SO,Statec,PR_STATEC_2017,N,F,Regards sur la balance courante en 2016,12 989,2017,,
PR,CB,BCL,PR_BCL_2021,N,F,Balance des paiements du Luxembourg sur les trois premiers trimestres de l’année 2020,3 773,2021,,
PR,CB,BCL,PR_BCL_2021_2,N,F,Position extérieure globale au troisième trimestre 2020,3 491,2021,,
PR,CB,BdF,PR_BdF_2014,N,F,La balance des paiements et la position extérieure de la France, Rapport annuel 2013,101 849,2014,,
PR,CB,BdF,PR_BdF_2015,N,F,La balance des paiements et la position extérieure de la France, Rapport annuel 2014,96 830,2015,,
PR,CB,BdF,PR_BdF_2015-01,N,F,La balance des paiements - France - Janvier 2015,3 923,2015,,
PR,CB,BdF,PR_BdF_2015-02,N,F,La balance des paiements - France - Février 2015,3 553,2015,,
PR,CB,BdF,PR_BdF_2015-03,N,F,La balance des paiements - France - Mars 2015,3 748,2015,,
PR,CB,BdF,PR_BdF_2015-04,N,F,La balance des paiements - France - Avril 2015,4 165,2015,,
PR,CB,BdF,PR_BdF_2015-05,N,F,La balance des paiements - France - Mai 2015,3 794,2015,,
PR,CB,BdF,PR_BdF_2015-06,N,F,La balance des paiements - France - Juin 2015,3 090,2015,,
PR,CB,BdF,PR_BdF_2015-07,N,F,La balance des paiements - France - Juillet 2015,3 469,2015,,
PR,CB,BdF,PR_BdF_2015-08,N,F,"La balance des paiements - France - Août 2015
",3 675,2015,,
PR,CB,BdF,PR_BdF_2015-09,N,F,La balance des paiements - France - Septembre 2015,4 108,2015,,
PR,CB,BdF,PR_BdF_2015-10,N,F,La balance des paiements - France - Octobre 2015,3 792,2015,,
PR,CB,BdF,PR_BdF_2015-11,N,F,La balance des paiements - France - Novembre 2015,2 852,2015,,
PR,CB,BdF,PR_BdF_2015-12,N,F,La balance des paiements - France - Décembre 2015,5 554,2015,,
PR,CB,BdF,PR_BdF_2016,N,F,La balance des paiements et la position extérieure de la France, Rapport annuel 2015,91 911,2016,,
PR,CB,BdF,PR_BdF_2016-01,N,F,La balance des paiements - France - Janvier 2016,5 610,2016,,
PR,CB,BdF,PR_BdF_2016-02,N,F,La balance des paiements - France - Février 2016,5 454,2016,,
PR,CB,BdF,PR_BdF_2016-03,N,F,La balance des paiements - France - Mars 2016,3 153,2016,,
PR,CB,BdF,PR_BdF_2016-04,N,F,La balance des paiements - France - Avril 2016,3 061,2016,,
PR,CB,BdF,PR_BdF_2016-05,N,F,La balance des paiements - France - Mai 2016,3 143,2016,,
PR,CB,BdF,PR_BdF_2016-06,N,F,La balance des paiements - France - Juin 2016,3 120,2016,,
PR,CB,BdF,PR_BdF_2016-07,N,F,La balance des paiements - France - Juillet 2016,3 330,2016,,
PR,CB,BdF,PR_BdF_2016-08,N,F,La balance des paiements - France - Août 2016,3 114,2016,,
PR,CB,BdF,PR_BdF_2016-09,N,F,"La balance des paiements - France - Septembre 2016
",2 816,2016,,
PR,CB,BdF,PR_BdF_2016-10,N,F,La balance des paiements - France - Octobre 2016,2 878,2016,,
PR,CB,BdF,PR_BdF_2016-11,N,F,"La balance des paiements - France - Novembre 2016
",3 524,2016,,
PR,CB,BdF,PR_BdF_2016-12,N,F,La balance des paiements - France - Décembre 2016,3 324,2016,,
PR,CB,BdF,PR_BdF_2017,N,F,La balance des paiements et la position extérieure de la France, Rapport annuel 2016,58 718,2017,,
PR,CB,BdF,PR_BdF_2017-01,N,F,La balance des paiements - France - Janvier 2017,3 107,2017,,
